controller,final_supply_c,final_return_c,final_error_c,peak_absolute_error_c,overshoot_c,settling_time_s,integrated_absolute_error_c_s,maximum_cooling_fraction,control_output_total_variation,maximum_energy_residual_kj,timestep_final_supply_difference_c
P,8.664664900018787,11.05511052866922,1.6646649000187868,1.6646649000187868,0.0,,1840.8556451347351,0.499399470005636,0.19939947000563601,3.517186542012496e-12,
PI,6.996026675165837,9.403832231354267,-0.00397332483416335,0.36802688592423927,0.00397332483416335,800.0,206.19901248503658,0.5259422160417799,0.24701490226053008,2.511768570911954e-12,0.0017362825973474827
