time_s,temperature_c,setpoint_c,equipment_state,requested_cooling_fraction,cooling_fraction,start_command,stop_command,flow_proven,reset_command
650.0,8.679045707206978,7.0,OFF,0.5037137121620933,0.0,False,False,False,False
660.0,8.750816042135208,7.0,OFF,0.5252448126405623,0.0,False,False,False,False
670.0,8.822586377063438,7.0,OFF,0.5467759131190313,0.0,False,False,False,False
680.0,8.894356711991668,7.0,OFF,0.5683070135975002,0.0,False,False,False,False
690.0,8.966127046919897,7.0,OFF,0.5898381140759692,0.0,False,False,False,False
700.0,9.037897381848127,7.0,OFF,0.6113692145544382,0.0,False,False,False,False
710.0,9.109667716776357,7.0,OFF,0.6329003150329072,0.0,False,False,False,False
720.0,9.181438051704587,7.0,STARTING,0.6544314155113762,0.0,True,False,False,False
730.0,9.253208386632817,7.0,STARTING,0.6759625159898451,0.0,False,False,False,False
740.0,9.324978721561047,7.0,RUNNING,0.6974936164683141,0.6974936164683141,False,False,True,False
750.0,9.229884554941833,7.0,RUNNING,0.6689653664825499,0.6689653664825499,False,False,True,False
760.0,9.141615328510602,7.0,RUNNING,0.6424845985531805,0.6424845985531805,False,False,True,False
770.0,9.059681214024195,7.0,RUNNING,0.6179043642072585,0.6179043642072585,False,False,True,False
780.0,8.983627538376526,7.0,RUNNING,0.5950882615129577,0.5950882615129577,False,False,True,False
790.0,8.913032260502613,7.0,RUNNING,0.5739096781507838,0.5739096781507838,False,False,True,False
800.0,8.847503629366061,7.0,RUNNING,0.5542510888098183,0.5542510888098183,False,False,True,False
810.0,8.786678010033569,7.0,RUNNING,0.5360034030100707,0.5360034030100707,False,False,True,False
820.0,8.730217865772786,7.0,RUNNING,0.5190653597318359,0.5190653597318359,False,False,True,False
830.0,8.677809884975696,7.0,RUNNING,0.5033429654927088,0.5033429654927088,False,False,True,False
840.0,8.629163242513325,7.0,RUNNING,0.48874897275399753,0.48874897275399753,False,False,True,False
850.0,8.584007985873614,7.0,RUNNING,0.47520239576208406,0.47520239576208406,False,False,True,False
860.0,8.542093537126703,7.0,RUNNING,0.462628061138011,0.462628061138011,False,False,True,False
