controller,anti_windup_enabled,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,unrestricted_command,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI_NO_ANTI_WINDUP,False,110.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,120.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,130.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,140.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,150.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,160.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,170.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,180.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,190.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,200.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,210.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,220.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,230.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,240.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,250.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,260.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,270.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,280.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,290.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,300.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,310.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,320.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,330.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,340.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,350.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,360.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,370.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,380.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,390.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,400.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,410.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,420.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,430.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,440.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,450.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,460.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,470.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,480.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,490.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,500.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,510.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,520.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
