time_s,python_supply_temperature_c,simulink_supply_temperature_c,supply_error_c,python_return_temperature_c,simulink_return_temperature_c,return_error_c,python_cooling_fraction,simulink_cooling_fraction,cooling_fraction_error,python_integral_state_c_s,simulink_integral_state_c_s,integral_state_error_c_s
0,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
10,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
20,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
30,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
40,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
50,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
60,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
70,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
80,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
90,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
100,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
110,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
120,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
130,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
140,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
150,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
160,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
170,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
180,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
190,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
200,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
210,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
220,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
230,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
240,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
250,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
260,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
270,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
280,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
290,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
300,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
310,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
320,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
330,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
340,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
350,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
360,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
370,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
380,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
390,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
400,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
410,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
420,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
430,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
440,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
450,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
460,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
470,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
480,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
490,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
500,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
510,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
520,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
530,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
540,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
550,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
560,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
570,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
580,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
590,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
600,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
610,7,7,0,8.5311004784689,8.5311004784689,0,0.3,0.3,0,300,300,0
620,7.00956937799043,7.00956937799043,0,8.61722488038277,8.61722488038277,0,0.302870813397129,0.302870813397129,0,300,300,0
630,7.02542066344635,7.02542066344635,0,8.69569377990431,8.69569377990431,0,0.307721892813809,0.307721892813809,0,300.095693779904,300.095693779904,0
640,7.04521261967884,7.04521261967884,0,8.76790091801928,8.76790091801928,0,0.31391368631802,0.31391368631802,0,300.349900414368,300.349900414368,0
650,7.06728351347555,7.06728351347555,0,8.834866537946,8.834866537946,0,0.320987080653822,0.320987080653822,0,300.802026611156,300.802026611156,0
660,7.09045948068153,7.09045948068153,0,8.89734268525972,8.89734268525972,0,0.328612705950372,0.328612705950372,0,301.474861745912,301.474861745912,0
670,7.11391684135449,7.11391684135449,0,8.95588881456267,8.95588881456267,0,0.336554508959073,0.336554508959073,0,302.379456552727,302.379456552727,0
680,7.13708317314465,7.13708317314465,0,9.01092606700261,9.01092606700261,0,0.344643576909666,0.344643576909666,0,303.518624966272,303.518624966272,0
690,7.15956622955931,7.15956622955931,0,9.06277622737758,9.06277622737758,0,0.352759325565512,0.352759325565512,0,304.889456697718,304.889456697718,0
700,7.18110286304185,7.18110286304185,0,9.11168967735652,9.11168967735652,0,0.360815977905867,0.360815977905867,0,306.485118993312,306.485118993312,0
710,7.20152232059491,7.20152232059491,0,9.15786544568582,9.15786544568582,0,0.368752843802204,0.368752843802204,0,308.29614762373,308.29614762373,0
720,7.22071986573453,7.22071986573453,0,9.20146558293749,9.20146558293749,0,0.376527330550037,0.376527330550037,0,310.311370829679,310.311370829679,0
730,7.23863781996677,7.23863781996677,0,9.24262546097796,9.24262546097796,0,0.384109915477055,0.384109915477055,0,312.518569487024,312.518569487024,0
740,7.25525193551427,7.25525193551427,0,9.28146114663761,9.28146114663761,0,0.391480528340974,0.391480528340974,0,314.904947686692,314.904947686692,0
750,7.27056159904719,7.27056159904719,0,9.31807467528604,9.31807467528604,0,0.398625946755993,0.398625946755993,0,317.457467041835,317.457467041835,0
760,7.28458278860601,7.28458278860601,0,9.35255781742292,9.35255781742292,0,0.40553791961411,0.40553791961411,0,320.163083032307,320.163083032307,0
770,7.29734300937569,7.29734300937569,0,9.38499476430199,9.38499476430199,0,0.412211813731073,0.412211813731073,0,323.008910918367,323.008910918367,0
780,7.30887765198264,7.30887765198264,0,9.41546403857013,9.41546403857013,0,0.418645636606915,0.418645636606915,0,325.982341012124,325.982341012124,0
790,7.31922737360458,7.31922737360458,0,9.44403984967215,9.44403984967215,0,0.424839329613325,0.424839329613325,0,329.07111753195,329.07111753195,0
800,7.32843621469779,7.32843621469779,0,9.47079305182616,9.47079305182616,0,0.430794255677332,0.430794255677332,0,332.263391267996,332.263391267996,0
810,7.33655024497649,7.33655024497649,0,9.49579181787409,9.49579181787409,0,0.436512826907922,0.436512826907922,0,335.547753414974,335.547753414974,0
820,7.34361659034859,7.34361659034859,0,9.51910211034509,9.51910211034509,0,0.441998232969315,0.441998232969315,0,338.913255864739,338.913255864739,0
830,7.34968273422895,7.34968273422895,0,9.54078800810621,9.54078800810621,0,0.447254242036909,0.447254242036909,0,342.349421768224,342.349421768224,0
840,7.35479601662294,7.35479601662294,0,9.56091193047925,9.56091193047925,0,0.452285054097395,0.452285054097395,0,345.846249110514,345.846249110514,0
850,7.35900327590455,7.35900327590455,0,9.57953478885438,9.57953478885438,0,0.457095192048109,0.457095192048109,0,349.394209276743,349.394209276743,0
860,7.36235059368369,7.36235059368369,0,9.59671608732016,9.59671608732016,0,0.461689420140897,0.461689420140897,0,352.984242035789,352.984242035789,0
870,7.36488311427179,7.36488311427179,0,9.61251398771728,9.61251398771728,0,0.466072682254163,0.466072682254163,0,356.607747972626,356.607747972626,0
880,7.36664491824114,7.36664491824114,0,9.6269853501335,9.6269853501335,0,0.470250054587687,0.470250054587687,0,360.256579115344,360.256579115344,0
890,7.36767893531187,7.36767893531187,0,9.64018575670503,9.64018575670503,0,0.474226708891316,0.474226708891316,0,363.923028297755,363.923028297755,0
900,7.36802688592424,7.36802688592424,0,9.65216952432648,9.65216952432648,0,0.478007883428146,0.478007883428146,0,367.599817650874,367.599817650874,0
910,7.36772924381798,7.36772924381798,0,9.66298971024702,9.66298971024702,0,0.481598859655511,0.481598859655511,0,371.280086510116,371.280086510116,0
920,7.36682521407069,7.36682521407069,0,9.67269811336488,9.67269811336488,0,0.485004943169503,0.485004943169503,0,374.957378948296,374.957378948296,0
930,7.36535272257929,7.36535272257929,0,9.68134527319623,9.68134527319623,0,0.488231447862791,0.488231447862791,0,378.625631089003,378.625631089003,0
940,7.36334841407027,7.36334841407027,0,9.6889804678953,9.6889804678953,0,0.491283682535878,0.491283682535878,0,382.279158314796,382.279158314796,0
950,7.36084765651695,7.36084765651695,0,9.69565171227356,9.69565171227356,0,0.494166939410583,0.494166939410583,0,385.912642455499,385.912642455499,0
960,7.35788455041291,7.35788455041291,0,9.70140575645867,9.70140575645867,0,0.49688648414454,0.49688648414454,0,389.521119020668,389.521119020668,0
970,7.35449194176172,7.35449194176172,0,9.70628808561486,9.70628808561486,0,0.499447547053314,0.499447547053314,0,393.099964524797,393.099964524797,0
980,7.35070143793971,7.35070143793971,0,9.71034292099031,9.71034292099031,0,0.501855315324327,0.501855315324327,0,396.644883942414,396.644883942414,0
990,7.34654342580251,7.34654342580251,0,9.71361322244601,9.71361322244601,0,0.504114926062563,0.504114926062563,0,400.151898321811,400.151898321811,0
