controller,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
P,160.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,170.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,180.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,190.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,200.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,210.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,220.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,230.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,240.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,250.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,260.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,270.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,280.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,290.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,300.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
