time_s,temperature_c,setpoint_c,cooling_fraction
0.0,14.0,7.0,1.0
10.0,13.832535885167465,7.0,1.0
20.0,13.66507177033493,7.0,1.0
30.0,13.497607655502394,7.0,1.0
40.0,13.330143540669859,7.0,1.0
50.0,13.162679425837323,7.0,1.0
60.0,12.995215311004788,7.0,1.0
70.0,12.827751196172253,7.0,1.0
80.0,12.660287081339717,7.0,1.0
90.0,12.492822966507182,7.0,1.0
100.0,12.325358851674647,7.0,1.0
110.0,12.157894736842112,7.0,1.0
120.0,11.990430622009576,7.0,1.0
130.0,11.822966507177041,7.0,1.0
140.0,11.655502392344506,7.0,1.0
150.0,11.48803827751197,7.0,1.0
160.0,11.320574162679435,7.0,1.0
170.0,11.1531100478469,7.0,1.0
180.0,10.985645933014364,7.0,1.0
190.0,10.818181818181829,7.0,1.0
200.0,10.650717703349294,7.0,1.0
210.0,10.483253588516758,7.0,1.0
220.0,10.315789473684223,7.0,0.9947368421052669
230.0,10.149584487534637,7.0,0.9448753462603912
240.0,9.99530808890775,7.0,0.898592426672325
250.0,9.852104159081835,7.0,0.8556312477245503
260.0,9.719178023262565,7.0,0.8157534069787694
270.0,9.595792040731759,7.0,0.7787376122195276
280.0,9.481261511492637,7.0,0.744378453447791
290.0,9.374950876696515,7.0,0.7124852630089543
300.0,9.276270191766143,7.0,0.6828810575298428
310.0,9.18467185264417,7.0,0.655401555793251
320.0,9.099647556999852,7.0,0.6298942670999554
330.0,9.020725483530963,7.0,0.606217645059289
340.0,8.947467673708166,7.0,0.5842403021124498
350.0,8.879467601432461,7.0,0.5638402804297383
360.0,8.816347917119126,7.0,0.5449043751357378
370.0,8.757758353689523,7.0,0.5273275061068569
380.0,8.703373782850562,7.0,0.5110121348551686
390.0,8.65289241087564,7.0,0.4958677232626922
400.0,8.606034103874997,7.0,0.481810231162499
410.0,8.562538833261959,7.0,0.46876164997858766
420.0,8.522165232788613,7.0,0.4566495698365838
430.0,8.484689259143497,7.0,0.44540677774304915
440.0,8.449902948678654,7.0,0.43497088460359606
450.0,8.417613263366789,7.0,0.42528397901003673
460.0,8.387641019584484,7.0,0.4162923058753451
470.0,8.359819893776985,7.0,0.4079459681330954
480.0,8.33399549948677,7.0,0.400198649846031
490.0,8.310024530624084,7.0,0.39300735918722507
500.0,8.287773966225226,7.0,0.3863321898675677
510.0,8.267120332285616,7.0,0.38013609968568485
520.0,8.247949016571338,7.0,0.37438470497140147
530.0,8.230153632606887,7.0,0.3690460897820662
540.0,8.213635429309742,7.0,0.3640906287929225
550.0,8.198302742995645,7.0,0.3594908228986936
560.0,8.184070488713662,7.0,0.3552211466140985
570.0,8.17085968808828,7.0,0.3512579064264839
580.0,8.158597031048451,7.0,0.34757910931453534
590.0,8.14721446901148,7.0,0.3441643407034441
600.0,8.136648837264245,7.0,0.3409946511792734
610.0,8.126841504446237,7.0,0.33805245133387096
620.0,8.117738047189329,7.0,0.33532141415679867
630.0,8.109287948108754,7.0,0.33278638443262626
